#separator:tab
#html:false
#notetype:Basic
#deck:Койне
#tags column:4
#columns:Греческое слово	Перевод	Грамматика	Теги
ἀνατολή, -ῆς, ἡ	восток, восход	I скл., ж.р.; основа на -η; часто во мн. ч.: ἀπὸ ἀνατολῶν «с востока»	матфей02
ἀνήρ, ἀνδρός, ὁ	муж, мужчина	III скл., м.р.; основа ἀνδρ- (с вставным δ); A sg. ἄνδρα, D pl. ἀνδράσι(ν)	матфей01
ἄνθρωπος, -ου, ὁ	человек	II скл., м.р.	урок04 урок05 урок08 урок18
ἀνίσταμαι	вставать, воскресать	средний залог от ἀνίστημι — с активным значением; ἀνίσταται ἐκ νεκρῶν	урок15
ἀνίστημι	восставлять, воскрешать	ἀνά + ἵστημι; актив — переходный	урок15
ἀντί	вместо, за	предлог + Gen.; элизия ἀντ᾽ / ἀνθ᾽	урок23
ἀπό	от	предлог + Gen.; элизия ἀπ᾽ / ἀφ᾽	урок03 урок05 урок08 урок23
ἀποθνῄσκω	умирать	основа ἀποθνησκ-; III спр. (суффикс -σκ-)	урок11
ἀποκρίνομαι	отвечать	отложительный (deponens), I спр.; + Dat.; очень частотен в Евангелиях	урок21
ἀπολύω	отпускать, разводиться	ἀπο- + λύω; I спр.; осн. формы: ἀπολύσω, ἀπέλυσα, ἀπολέλυκα	матфей01
ἀπόστολος, -ου, ὁ	апостол, посланник	II скл., м.р.	урок05 урок08
ἀρχή, -ῆς, ἡ	начало	I скл., ж.р.	урок04
ἀρχιερεύς, -έως, ὁ	первосвященник	III скл., м.р.; основа на -ευ-; N pl. ἀρχιερεῖς	матфей02
ἄρχομαι	начинать	отложительный (deponens); + инфинитив: ἄρχομαι γράφειν	урок21 урок22
ἄρχων, ἄρχοντος, ὁ	начальник, правитель	III скл., м.р.; основа на -ντ (ἀρχοντ-); D pl. ἄρχουσι(ν)	урок12
ἀστήρ, -έρος, ὁ	звезда	III скл., м.р.; основа ἀστερ-; D pl. ἀστράσι(ν)	матфей02
αὐτοί, αὐταί, αὐτά	они	личное местоимение, 3 л. мн. ч.	урок04
αὐτός, αὐτή, αὐτό	он, она, оно; сам; тот же	личное местоимение 3 л.; предикативно «сам», атрибутивно «тот же»	урок04
βαπτίζω	крестить, погружать	I спр.; основа βαπτιζ-; pass. βαπτίζομαι; part. βαπτιζόμενος	урок20
βάπτισμα, βαπτίσματος, τό	крещение	III скл., ср.р.; основа βαπτισματ- (тип на -μα)	урок12 урок13
βασιλεία, -ας, ἡ	царство	I скл.; ж.р.	урок03 урок08
βασιλεύς, βασιλέως, ὁ	царь	III скл., м.р.; основа на -ευ; G sg. -έως, N/A pl. βασιλεῖς	урок13
βιβλίον, -ου, τό	книга	II скл., ср.р.	урок09
βλέπω	видеть	основа βλεπ-; III спр.; part. βλέπων; inf. βλέπειν	урок09 урок11 урок18 урок20 урок22
βούλομαι	хотеть, желать, намереваться	отложительный (deponens), I спр.; + инфинитив; осн. формы: βουλήσομαι, ἐβουλήθην	урок17 урок21 урок22 матфей01
γάρ	ибо, потому что	союз; постпозитивный (второе слово)	урок04
γαστήρ, γαστρός, ἡ	живот, чрево, утроба	III скл., ж.р.; основа γαστ(ε)ρ-; ἐν γαστρὶ ἔχειν «быть беременной»	матфей01
γενεά, -ᾶς, ἡ	род, поколение	I скл., ж.р.; основа на -α (после ε); G sg. -ᾶς	матфей01
γένος, γένους, τό	род, потомство	III скл., ср.р.; основа на -σ (γενεσ-); G sg. -ους, D sg. -ει	урок13 урок16
γῆ, -ῆς, ἡ	земля	[гэ]; I скл., ж.р.	урок01 урок08
γίγας, γίγαντος, ὁ	гигант, исполин	III скл., м.р.; основа на -ντ (γιγαντ-)	урок12
γίνομαι	становиться, бывать, происходить	отложительный (deponens), I спр.; 2 sg. γίνῃ; inf. γίνεσθαι	урок17 урок21 урок22
γινώσκω	знать, познавать	основа γινωσκ-; III спр. (суффикс -σκ-); осн. формы: γνώσομαι, ἔγνων, ἔγνωκα	урок09 урок11 матфей01
γνῶσις, -εως, ἡ	знание	III скл., ж.р.; гласная основа на -ι; G sg. -εως	урок03 урок13
γραμματεύς, -έως, ὁ	книжник	III скл., м.р.; основа на -ευ-; N pl. γραμματεῖς	матфей02
γραφή, -ῆς, ἡ	писание, Писание	I скл.; основа на -η	урок02
γράφω	писать	основа γραφ-; III спр.; pass. γράφομαι; inf. γράφειν; осн. формы: γράψω, ἔγραψα, γέγραφα, γέγραμμαι	урок09 урок11 урок18 урок20 урок22 матфей02
γυνή, γυναικός, ἡ	женщина, жена	III скл., ж.р.; основа γυναικ-; N pl. γυναῖκες, D pl. γυναιξί(ν)	урок13 урок19 урок20
δαιμόνιον, -ου, τό	бес, демон	II скл., ср.р.	урок06
δέ	а, же	союз; постпозитивный (второе слово)	урок04
δεῖ	нужно, должно	безличный глагол; + Acc. + инфинитив	урок22
δειγματίζω	выставлять напоказ, публично позорить	основа δειγματιδ-; I спр. (на -ίζω); осн. формы: δειγματίσω, ἐδειγμάτισα	матфей01
δείκνυμι	показывать, указывать	глагол на -νυμι; корень δεικ-; 3 pl. δεικνύασι(ν); inf. δεικνύναι	урок15 урок16 урок22
δεκατέσσαρες, -α	четырнадцать	числительное количественное; м./ж. -ες, ср. -α; склоняется по III скл.	матфей01
δεσμός, -οῦ, ὁ	узы, оковы	II скл., м.р.; мн. ч. чаще ср.р. — τὰ δεσμά	урок17
διά	через, посредством (+ Gen.); из-за, ради (+ Acc.)	предлог + Gen. / Acc.; элизия δι᾽	урок23
διδάσκαλος, -ου, ὁ	учитель	II скл., м.р.	урок05
διδάσκω	учить, обучать	основа διδασκ-; III спр. (суффикс -σκ-); + двойной Acc.	урок09 урок11
δίδωμι	давать	атематический (-μι), I группа; корень δω-/διδω-; + Dat. + Acc.; 3 pl. διδόασι(ν); inf. διδόναι; part. διδούς	урок14 урок16 урок17 урок18 урок19 урок20 урок22
δίκαιος, -α, -ον	праведный, праведная, праведное	прилагательное I–II скл.; -ος, -α, -ον (после ι)	урок07 урок08
δικαιοσύνη, -ης, ἡ	праведность	I скл.; основа на -η; ж.р.	урок02 урок03 урок08
δόξα, -ης, ἡ	слава	[докса]; I скл., ж.р.; основа на -α	урок01 урок02 урок03 урок08
δοῦλος, -ου, ὁ	раб, слуга	II скл., м.р.	урок05
δύναμαι	мочь, быть в состоянии	отложительный (deponens); 2 sg. δύνασαι (без стяжения); + инфинитив; inf. δύνασθαι	урок17 урок21 урок22
δύναμις, δυνάμεως, ἡ	сила, могущество	III скл., ж.р.; гласная основа на -ι; G sg. -εως	урок13
δῶρον, -ου, τό	дар, подарок	II скл., ср.р.	урок06 урок09 урок10 урок14 урок15
ἐγείρω	поднимать, воскрешать	основа ἐγερ-; I спр.; осн. формы: ἐγερῶ, ἤγειρα, ἐγήγερκα, ἠγέρθην	матфей01
ἐγώ	я	личное местоимение, 1 л. ед. ч.; G ἐμοῦ/μου; полные формы: G ἐμοῦ, D ἐμοί, A ἐμέ (энклит. μου, μοι, με); мн. ἡμεῖς, ἡμῶν	урок04 матфей01
εἰμί	быть, являться	неправильный глагол; inf. εἶναι; part. ὤν, οὖσα, ὄν; fut. ἔσομαι, impf. ἦν	урок04 урок16 урок19 урок22 матфей01
εἰρήνη, -ης, ἡ	мир (покой, согласие)	I скл.; основа на -η; ж.р.	урок02 урок03 урок08
εἰς	в, во (куда?); для, ради	предлог + Acc.	урок03 урок05 урок08 урок23
ἐκ (ἐξ)	из, от	предлог + Gen.; ἐξ перед гласной	урок03 урок05 урок08 урок23 матфей01
ἐκεῖνος, -η, -ο	тот, та, то	указательное местоимение; склоняется как αὐτός	урок22
ἐκκλησία, -ας, ἡ	церковь, собрание	I скл.; основа на -α; ж.р.	урок02 урок03 урок08
ἐλάχιστος, -η, -ον	наименьший, малейший	прилагательное I–II скл.; превосходная степень к μικρός	матфей02
ἐλεύθερος, -α, -ον	свободный, свободная, свободное	прилагательное I–II скл.; -ος, -α, -ον (после ρ)	урок07
ἐλπίς, -ίδος, ἡ	надежда	III скл., ж.р.; согласная основа ἐλπιδ-	урок03 урок12
ἐν	в, внутри (где?); словом, посредством	предлог + Dat.	урок03 урок05 урок08 урок23
ἐνθυμέομαι	размышлять, обдумывать	отложительный (deponens), II спр. (контрактный на -έω); осн. формы: ἐνθυμηθήσομαι, ἐνθυμήθην	матфей01
ἐντολή, -ῆς, ἡ	заповедь	I скл., ж.р.	урок10
ἐξέρχομαι	выходить	отложительный (deponens); ἐξ- + ἔρχομαι; осн. формы: ἐξελεύσομαι, ἐξῆλθον, ἐξελήλυθα	матфей02
ἔξεστι(ν)	позволено, можно	безличный глагол; + Dat. + инфинитив	урок22
ἐπί	на, над (+ Gen./Dat.); на, к (направление, + Acc.)	предлог + Gen. / Dat. / Acc.; элизия ἐπ᾽ / ἐφ᾽	урок23
ἐπιστολή, -ῆς, ἡ	послание, письмо	I скл., ж.р.	урок11
ἔργον, -ου, τό	дело, труд, работа	II скл., ср.р.	урок06 урок08 урок10 урок16 урок18
ἔρχομαι	приходить, идти	отложительный (deponens), III спр.; 2 sg. ἔρχῃ; inf. ἔρχεσθαι; part. ἐρχόμενος; осн. формы: ἐλεύσομαι, ἦλθον, ἐλήλυθα	урок17 урок21 урок22 матфей02
ἐσθίω	есть, питаться	основа ἐσθι-; III спр. (особое)	урок11
ἕτοιμος, -η, -ον	готовый, готовая, готовое	прилагательное I–II скл.; -ος, -η, -ον	урок07
εὐαγγέλιον, -ου, τό	благовестие, Евангелие	II скл., ср.р.	урок06 урок08
εὐλογητός, -ή, -όν	благословенный	прилагательное I–II скл.	урок06
εὑρίσκω	находить	основа εὑρισκ-; III спр. (суффикс -σκ-); осн. формы: εὑρήσω, εὗρον, εὕρηκα, εὑρέθην	урок09 урок11 матфей01
εὔχομαι	молиться, желать	отложительный (deponens), I спр.; + Dat.	урок21
ἔχω	иметь, держать	основа ἐχ-; III спр.; осн. формы: ἕξω, ἔσχον, ἔσχηκα	урок09 матфей01
ἕως	до (+ Gen.); пока, пока не (союз)	несклоняемое; предлог + Gen. или союз	матфей01
ζεύγνυμι	запрягать, соединять	глагол на -νυμι; корень ζευγ-	урок15
ζητέω	искать	основа ζητε-; II спр. (на -έω)	урок10
ζωή, -ῆς, ἡ	жизнь	[дзоэ/зоэ]; I скл., ж.р.; основа на -η	урок01 урок02 урок03 урок08
ζῷον, -ου, τό	животное, живое существо	II скл., ср.р.	урок06
ἡγεμών, -όνος, ὁ	правитель, вождь, начальник	III скл., м.р.; основа ἡγεμον-	матфей02
ἡγέομαι	вести, предводительствовать; считать	отложительный (deponens), II спр. (контрактный на -έω); + Gen.; осн. формы: ἡγήσομαι, ἡγησάμην, ἥγημαι	матфей02
ἡμεῖς	мы	личное местоимение, 1 л. мн. ч.	урок04
ἡμέρα, -ας, ἡ	день	[эмэра]; I скл., ж.р.; основа на -α	урок01 урок02 урок03 урок08 матфей02
θάλασσα, -ης, ἡ	море	I скл.; основа на -α после σσ → G -ης	урок02
θάνατος, -ου, ὁ	смерть	II скл., м.р.	урок05
θέλημα, θελήματος, τό	воля, желание	III скл., ср.р.; основа θεληματ- (тип на -μα)	урок13 урок22
θέλω	хотеть, желать	основа θελ-; I спр.; + инфинитив; осн. формы: θελήσω, ἠθέλησα	матфей01
θεός, -οῦ, ὁ	бог	[тэос]; II скл., м.р.	урок01 урок05 урок08 урок10 урок16
θεωρέω	смотреть, созерцать	основа θεωρε-; II спр. (на -έω)	урок10
θνῄσκω	умирать	основа θνησκ-; III спр. (редко без приставки)	урок11
θύω	жертвовать, приносить в жертву	основа θυ-; I спр.; + Dat.	урок09
ἰδού	вот, се	частица (застывшая форма imper. med. от εἶδον)	матфей01
ἱερόν, -οῦ, τό	храм	II скл., ср.р.	урок06 урок09
ἱερός, -ά, -όν	священный, священная, священное	прилагательное I–II скл.; -ος, -ά, -όν (после ρ)	урок07
ἵημι	бросать, посылать, отпускать	атематический (-μι), I группа; корень ἑ-/ἱε-; 3 pl. ἱᾶσι(ν)	урок14
Ἰησοῦς, -οῦ, ὁ	Иисус	особое склонение: N Ἰησοῦς, G/D Ἰησοῦ, A Ἰησοῦν, V Ἰησοῦ	урок12 урок21
ἵνα	чтобы, дабы	союз цели; + сослагательное наклонение (уроки за пределами 1–32)	матфей01
ἵσταμαι	становиться, вставать, стоять	средний залог от ἵστημι — с активным значением	урок15
ἵστημι	ставить, помещать, утверждать	атематический (-μι), II группа; корень στα-/ἱστα-; 3 pl. ἱστᾶσι(ν); inf. ἱστάναι; part. ἱστάς	урок15 урок16 урок19 урок22
ἰχθύς, ἰχθύος, ὁ	рыба	III скл., м.р.; гласная основа на -υ; A sg. ἰχθύν, A pl. ἰχθύας	урок13
καί	и, также	союз	урок04
κακόν, -οῦ, τό	зло	II скл., ср.р. (субстантивированное прилагательное)	урок06
κακός, -ή, -όν	злой, злая, злое; плохой	прилагательное I–II скл.; -ος, -η, -ον	урок07
καλέω	звать, называть	основа καλε-; II спр. (на -έω); pass. καλοῦμαι; осн. формы: καλέσω, ἐκάλεσα, κέκληκα	урок10 урок18 матфей01
καλός, -ή, -όν	прекрасный, хороший	прилагательное I–II скл.; м.р., ж.р., ср.р.	урок02
καρδία, -ας, ἡ	сердце	I скл.; основа на -α; ж.р.	урок02 урок03 урок14
κατά	против (+ Gen.); по, согласно (+ Acc.)	предлог + Gen. / Acc.; элизия καθ᾽ перед густым	урок08 урок23
κεράννυμι	смешивать	глагол на -νυμι; корень κερα-	урок15
κόσμος, -ου, ὁ	мир (вселенная)	II скл., м.р.	урок04 урок05 урок08
κρίσις, κρίσεως, ἡ	суд, приговор	III скл., ж.р.; гласная основа на -ι; G sg. -εως	урок13
κύριος, -ου, ὁ	господин, Господь	II скл., м.р.	урок05 урок08
λάθρᾳ	тайно, скрытно	наречие (застывший Dat. от λάθρα)	матфей01
λαλέω	говорить, беседовать	основа λαλε-; II спр. (на -έω); inf. λαλεῖν	урок10 урок16 урок22
λαμβάνω	брать, получать	основа λαμβαν-; III спр.	урок09 урок11
λάμπω	светить, сиять	I спр.; основа λαμπ-	урок22
λαός, -οῦ, ὁ	народ	II скл., м.р.	матфей01
λέγω	говорить, сказать	основа λεγ-; III спр.; mid./pass. λέγομαι; inf. λέγειν; осн. формы супплетивные: ἐρῶ, εἶπον, εἴρηκα, ἐρρήθην	урок09 урок11 урок17 урок18 урок22 матфей01
λόγος, -ου, ὁ	слово, дело, разум	[логос]; II скл., м.р.	урок01 урок05 урок08 урок09 урок10 урок16 урок18
λούω	мыть, омывать	I спр.; средний λούομαι — моюсь (классический пример возвратного значения)	урок17
λύω	развязывать, освобождать; разрушать	основа λυ-; I спр.; образец спряжения всех залогов	урок09 урок17 урок18 урок19 урок20 урок22
μάγος, -ου, ὁ	маг, волхв	II скл., м.р.	матфей02
μαθητής, -οῦ, ὁ	ученик	I скл., м.р. (мужской тип на -ης)	урок10 урок11
μακάριος, -α, -ον	блаженный, блаженная, блаженное	прилагательное I–II скл.; -ος, -α, -ον (после ι)	урок07 урок08
μάχομαι	сражаться, бороться	отложительный (deponens), I спр.; взаимное значение среднего залога	урок17 урок21
μέγας, μεγάλη, μέγα	великий, большой	смешанное склонение: μέγας/μέγαν, но μεγάλου, μεγάλῳ…	урок12 урок13
μετά	с, вместе (+ Gen.); после (+ Acc.)	предлог + Gen. / Acc.; элизия μετ᾽ / μεθ᾽	урок23 матфей01
μετοικεσία, -ας, ἡ	переселение, изгнание	I скл., ж.р.; основа на -α (после ι)	матфей01
μή	не	отрицание при инфинитиве, причастии, повелительном и сослагательном (в отличие от οὐ при indicativus)	матфей01
μήτηρ, μητρός, ἡ	мать	III скл., ж.р.; сонорная основа μητρ-; A sg. μητέρα, D pl. μητράσι(ν)	урок12
μικρός, -ά, -όν	малый, маленький	прилагательное I–II скл.; -ος, -ά, -όν (после ρ)	урок07
μισέω	ненавидеть	основа μισε-; II спр. (на -έω)	урок10
μνηστεύω	обручать; ср./пасс. быть обручённой	основа μνηστευ-; I спр.; в НЗ обычно в пасс.: μνηστευθεῖσα «обручённая»	матфей01
νεκρός, -ά, -όν	мёртвый, мёртвая, мёртвое; мертвец	прилагательное I–II скл.; -ος, -ά, -όν (после ρ)	урок07
νόμος, -ου, ὁ	закон	[номос]; II скл., м.р.	урок01 урок05 урок08 урок09 урок10 урок11 урок14
ὁ, ἡ, τό	определённый артикль	м.р., ж.р., ср.р.	урок02
ὁδός, -οῦ, ἡ	путь, дорога	II скл., но ж.р. (исключение: ж.р. на -ος)	урок15 урок23
οἰκία, -ας, ἡ	дом	I скл.; основа на -α; ж.р.	урок02 урок10
οἰκοδομέω	строить, созидать	основа οἰκοδομε-; II спр. (на -έω)	урок10 урок18
οἴομαι	думать, полагать	отложительный (deponens); + Acc. cum inf.	урок22
ὅλος, -η, -ον	весь, целый	прилагательное I–II скл.; позиция предикативная: ὅλη ἡ πόλις «весь город»	матфей01
ὄναρ, τό	сон, сновидение	несклоняемое, ср.р.; только Nom./Acc. sg.; κατ᾽ ὄναρ «во сне»	матфей01
ὄνομα, ὀνόματος, τό	имя	III скл., ср.р.; основа ὀνοματ-; D pl. ὀνόμασι(ν)	урок12
ὁράω	видеть	основа ὁρα-; II спр. (контрактный на -άω); осн. формы супплетивные: ὄψομαι, εἶδον, ἑώρακα	матфей02
ὅστις, ἥτις, ὅ τι	кто бы ни, который	относительное неопределённое местоимение; ὅς + τις, склоняются обе части	матфей02
ὅτι	что; потому что	союз	урок04
οὐ / οὐκ / οὐχ	не	отрицание: οὐ перед согласной, οὐκ перед тонким, οὐχ перед густым придыханием	урок04
οὐδαμῶς	никак, никоим образом	наречие	матфей02
οὖν	итак, следовательно, поэтому	союз; постпозитивный (второе слово)	урок04 матфей01
οὐρανός, -οῦ, ὁ	небо	II скл., м.р.	урок05 урок08 урок11
οὗτος, αὕτη, τοῦτο	этот, эта, это	указательное местоимение; позиция предикативная: οὗτος ὁ ἄνθρωπος	урок22 матфей01
οὕτως	так, таким образом	наречие; перед согласной может быть οὕτω	матфей01
παρά	от (+ Gen.); у, при (+ Dat.); к, мимо (+ Acc.)	предлог + Gen. / Dat. / Acc.; элизия παρ᾽	урок04 урок23
παραγίνομαι	приходить, являться	отложительный (deponens); παρα- + γίνομαι; осн. формы: παραγενήσομαι, παρεγενόμην, παραγέγονα	матфей02
παράκλητος, -ου, ὁ	Утешитель, Заступник	II скл., м.р.	урок05
παραλαμβάνω	брать, принимать	παρα- + λαμβάνω; III спр.; осн. формы: παραλήμψομαι, παρέλαβον, παρείληφα	матфей01
παρθένος, -ου, ἡ	дева, девушка	II скл., но ж.р. (окончания II скл. при женском роде)	матфей01
πᾶς, πᾶσα, πᾶν	весь, всякий, каждый	прилагательное III+I скл.; основа παντ-; G παντός, πάσης, παντός; без артикля «всякий», с артиклем «весь»	матфей01
πατέω	попирать, топтать	основа πατε-; II спр. (на -έω)	урок10
πατήρ, πατρός, ὁ	отец	III скл., м.р.; сонорная основа πατρ-; A sg. πατέρα, D pl. πατράσι(ν)	урок12 урок14 урок15 урок16
περί	о, относительно (+ Gen.); вокруг, около (+ Acc.)	предлог + Gen. / Acc.	урок23
πίνω	пить	основа πιν-; III спр.	урок11
πιστεύω	верить, доверять	основа πιστευ-; I спр.; + Dat. (кому) / εἰς + Acc. (в кого)	урок09 урок16 урок19
πίστις, πίστεως, ἡ	вера	III скл., ж.р.; гласная основа на -ι; G sg. -εως, N/A pl. πίστεις	урок12 урок13 урок16
πιστός, -ή, -όν	верный, верная, верное	прилагательное I–II скл.; -ος, -η, -ον	урок07 урок08
πληρόω	наполнять, исполнять	основа πληρο-; II спр. (на -όω); inf. πληροῦν; осн. формы: πληρώσω, ἐπλήρωσα, πεπλήρωκα, ἐπληρώθην	урок10 матфей01
πλούσιος, -α, -ον	богатый, богатая, богатое	прилагательное I–II скл.; -ος, -α, -ον (после ι)	урок07
πνεῦμα, πνεύματος, τό	дух	III скл., ср.р.; согласная основа πνευματ-; D pl. πνεύμασι(ν)	урок04 урок06 урок12 урок16
ποιέω	делать, творить	основа ποιε-; II спр. (контрактный на -έω); mid. ποιοῦμαι; inf. ποιεῖν; осн. формы: ποιήσω, ἐποίησα, πεποίηκα	урок09 урок10 урок17 урок18 урок19 урок20 урок22 матфей01
ποιμαίνω	пасти	основа ποιμαν-; I спр.; осн. формы: ποιμανῶ, ἐποίμανα	матфей02
ποιμήν, ποιμένος, ὁ	пастырь, пастух	III скл., м.р.; сонорная основа ποιμεν-	урок05 урок12
πόλις, -εως, ἡ	город	III скл., ж.р.; гласная основа на -ι; G sg. -εως, N/A pl. πόλεις	урок02 урок13 урок16 урок18 урок23
πολύς, πολλή, πολύ	многий, многочисленный	смешанное склонение: πολύς/πολύν, но πολλοῦ, πολλῷ…	урок13
πονηρός, -ά, -όν	злой, лукавый	прилагательное I–II скл.; -ος, -ά, -όν (после ρ)	урок07 урок08
πορεύομαι	идти, путешествовать	отложительный (deponens), I спр.; 2 sg. πορεύῃ	урок17 урок21
ποῦ	где	вопросительное наречие (ср. энклитическое που «где-то»)	матфей02
πρίν	прежде, прежде чем	наречие / союз; + inf. (Acc. cum inf.): πρὶν ἢ συνελθεῖν	матфей01
πρό	перед, прежде	предлог + Gen.; πρὸ τοῦ + inf. — «перед тем как»	урок22 урок23
πρός	к (+ Acc.); у, возле (+ Gen./Dat., редко)	предлог + Acc. (осн.) / Gen. / Dat.	урок03 урок05 урок08 урок23
προσκαλέω	призывать	основа προσκαλε-; II спр. (на -έω, с приставкой)	урок10
προσκυνέω	поклоняться	προσ- + κυνέω; II спр. (контрактный на -έω); + Dat. (реже Acc.); осн. формы: προσκυνήσω, προσεκύνησα, προσκεκύνηκα	матфей02
προστάσσω	приказывать, повелевать	προσ- + τάσσω; основа ταγ-; I спр.; + Dat. лица; осн. формы: προστάξω, προσέταξα, προστέταχα	матфей01
προφήτης, -ου, ὁ	пророк	I скл., м.р. (мужской тип на -ης)	урок18 урок20 матфей01
πυνθάνομαι	спрашивать, узнавать	основа πυνθαν-; III спр.; отложительный (средний залог); + παρά + Gen.; осн. формы: πεύσομαι, ἐπυθόμην, πέπυσμαι	урок11 урок21 матфей02
ῥῆμα, ῥήματος, τό	слово (сказанное), речение	III скл., ср.р.; основа ῥηματ- (тип на -μα)	урок13
ῥήτωρ, ῥήτορος, ὁ	оратор, витии	III скл., м.р.; основа на -ρ (ῥητορ-)	урок12
σάρξ, σαρκός, ἡ	плоть	III скл., ж.р.; гортанная основа σαρκ-; D pl. σαρξί(ν)	урок12 урок16 урок17
σβέννυμι	гасить, угашать	глагол на -νυμι; корень σβεν-	урок15
σημεῖον, -ου, τό	знамение, знак, чудо	II скл., ср.р.	урок06 урок08 урок16
σκοτία, -ας, ἡ	тьма, темнота	I скл., ж.р.; основа на -α после ι → G -ας	урок22
σοφία, -ας, ἡ	мудрость	I скл.; основа на -α; ж.р.	урок02 урок03 урок08
στορέννυμι	стелить, расстилать	глагол на -νυμι; корень στορ-	урок15
στρατιώτης, -ου, ὁ	воин	I скл., м.р. (мужской тип на -ης)	урок18
σύ	ты	личное местоимение, 2 л. ед. ч.; G σοῦ/σου; полные формы: G σοῦ, D σοί, A σέ (энклит. σου, σοι, σε)	урок04 матфей01
σύν	с (вместе)	предлог + Dat.	урок03 урок05 урок08 урок23
συνάγω	собирать	συν- + ἄγω; III спр.; осн. формы: συνάξω, συνήγαγον	матфей02
συνέρχομαι	сходиться, собираться вместе	отложительный (deponens), III спр.; συν- + ἔρχομαι; осн. формы: συνελεύσομαι, συνῆλθον, συνελήλυθα	матфей01
σῴζω	спасать	основа σῳζ-; I спр.; осн. формы: σώσω, ἔσωσα, σέσωκα	урок09 матфей01
σῶμα, σώματος, τό	тело	III скл., ср.р.; согласная основа σωματ-; D pl. σώμασι(ν)	урок06 урок12
ταράσσω	смущать, тревожить	основа ταραχ-; I спр.; осн. формы: ταράξω, ἐτάραξα, τετάραχα, ἐταράχθην	матфей02
τέκνον, -ου, τό	дитя, ребенок	II скл., ср.р.	урок06 урок08
τηρέω	хранить, соблюдать	основа τηρε-; II спр. (на -έω)	урок10 урок16 урок22
τίθημι	класть, ставить, полагать	атематический (-μι), I группа; корень θε-/τιθε-; 3 pl. τιθέασι(ν); inf. τιθέναι; part. τιθείς	урок14 урок16 урок17 урок19 урок20 урок22
τίκτω	рождать	основа τεκ-/τικ-; III спр.; осн. формы: τέξομαι, ἔτεκον, τέτοκα	матфей01
τράπεζα, -ης, ἡ	стол	I скл., ж.р.; основа на -α после ζ → G -ης	урок15
ὕδωρ, ὕδατος, τό	вода	III скл., ср.р.; основа ὑδατ-; D pl. ὕδασι(ν)	урок13
υἱός, -οῦ, ὁ	сын	[хиос/иос]; II скл., м.р.	урок01 урок05 урок08 урок16
ὑμεῖς	вы	личное местоимение, 2 л. мн. ч.	урок04
ὑπέρ	за, ради (+ Gen.); сверх, над (+ Acc.)	предлог + Gen. / Acc.	урок23
ὕπνος, -ου, ὁ	сон	II скл., м.р.	матфей01
ὑπό	от, кем (агент, + Gen.); под (+ Acc.)	предлог + Gen. (агент пассива) / Acc.; элизия ὑπ᾽ / ὑφ᾽	урок18 урок20 урок23
φαίνω	являть, показывать; ср./пасс. являться, показываться	основа φαν-; I спр.; осн. формы: φανοῦμαι, ἐφάνην, πέφηνα	матфей01
φέρω	нести, приносить	основа φερ-; III спр. (неправильный в других временах)	урок09 урок11
φιλέω	любить (дружески)	основа φιλε-; II спр. (на -έω)	урок10
φοβέομαι	бояться	отложительный контрактный (-έω); φοβοῦμαι, φοβεῖται; + Acc.	урок20
φόβος, -ου, ὁ	страх	II скл., м.р.	урок05
